City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pangody,65.85,74.4859,-9.64,92,100,5.21,RU,1681843455
1,kodiak,57.79,-152.4072,1.73,48,0,5.66,US,1681843455
2,new norfolk,-42.7826,147.0587,12.72,82,100,0.45,AU,1681843455
3,stanley,54.868,-1.6985,8.49,81,0,4.63,GB,1681843321
4,sao vicente,-23.9631,-46.3919,27.75,60,0,2.24,BR,1681843456
5,iqaluit,63.7506,-68.5145,-13.15,71,75,8.23,CA,1681843456
6,victoria point,-27.5833,153.3,18.84,91,100,0.89,AU,1681843456
7,el calafate,-50.3408,-72.2768,9.73,71,97,5.34,AR,1681843327
8,san patricio,28.017,-97.5169,27.92,77,52,10.86,US,1681843457
9,walvis bay,-22.9575,14.5053,22.37,52,86,4.95,NA,1681843457
10,ushuaia,-54.8,-68.3,7.79,65,75,7.72,AR,1681843193
11,ambon,-3.6954,128.1814,25.08,94,40,2.57,ID,1681843457
12,sao jose da coroa grande,-8.8978,-35.1478,28.05,74,100,3.72,BR,1681843458
13,papatowai,-46.5619,169.4708,12.09,89,100,4.59,NZ,1681843458
14,grytviken,-54.2811,-36.5092,2.41,83,81,0.82,GS,1681843458
15,howard springs,-12.497,131.047,19.34,96,17,2.5,AU,1681843370
16,thompson,55.7435,-97.8558,-2.91,33,40,6.17,CA,1681843459
17,ola,59.5833,151.2833,-6.38,75,59,5.25,RU,1681843459
18,kodinsk,58.6881,99.1844,-13.17,95,68,2.18,RU,1681843459
19,kapuskasing,49.4169,-82.4331,-4.95,80,100,15.95,CA,1681843303
20,dudinka,69.4058,86.1778,-20.11,93,5,2.95,RU,1681843459
21,mont-tremblant,46.1949,-74.6264,6.77,81,99,1.54,CA,1681843260
22,sitka,57.0531,-135.33,5.94,61,0,2.06,US,1681843460
23,hermanus,-34.4187,19.2345,13.22,82,51,2.43,ZA,1681843460
24,rio grande,-32.035,-52.0986,25.06,37,92,6.12,BR,1681843461
25,zuunmod,47.7069,106.9528,7.57,36,100,9.33,MN,1681843461
26,waitangi,-43.9535,-176.5597,15.46,87,100,2.68,NZ,1681843461
27,broken hill,-31.95,141.4333,14.95,49,4,3.24,AU,1681843169
28,queenstown,-31.8976,26.8753,16.18,38,0,0.67,ZA,1681843461
29,adamstown,-25.066,-130.1015,24.81,66,2,6.99,PN,1681843461
30,dawei,14.0833,98.2,25.9,86,100,0.45,MM,1681843461
31,bilibino,68.0546,166.4372,-11.13,92,100,1.26,RU,1681843462
32,port elizabeth,-33.918,25.5701,18.51,97,20,1.03,ZA,1681843343
33,isafjordur,66.0755,-23.124,8.67,81,100,2.51,IS,1681843462
34,chibougamau,49.9168,-74.3659,4.79,87,100,4.63,CA,1681843462
35,port-aux-francais,-49.35,70.2167,5.73,82,85,15.87,TF,1681843462
36,gernika-lumo,43.3167,-2.6833,15.7,58,0,3.09,ES,1681843462
37,colonel hill,22.7667,-74.2167,26.02,77,100,4.75,BS,1681843463
38,mount gambier,-37.8333,140.7667,12.12,73,100,4.32,AU,1681843463
39,west island,-12.1568,96.8225,26.99,78,100,5.66,CC,1681843463
40,parauapebas,-6.0675,-49.9022,26.99,88,40,1.03,BR,1681843319
41,kingston,17.997,-76.7936,29.53,70,20,4.63,JM,1681843383
42,cabo san lucas,22.8909,-109.9124,28.67,47,40,4.12,MX,1681843455
43,ancud,-41.8697,-73.8203,12.93,89,100,4.57,CL,1681843464
44,albany,42.6001,-73.9662,9.8,63,100,4.17,US,1681843345
45,ribeira grande,38.5167,-28.7,15.22,72,40,3.6,PT,1681843464
46,araripina,-7.5761,-40.4983,27.2,62,100,2.53,BR,1681843464
47,cassilandia,-19.1133,-51.7342,26.44,80,100,3.54,BR,1681843465
48,tashtagol,52.7657,87.8894,-7.02,93,100,4.47,RU,1681843465
49,mpika,-11.8343,31.4529,15.71,98,71,2.17,ZM,1681843465
50,hamilton,39.1834,-84.5333,17.01,40,0,4.12,US,1681843466
51,iskateley,67.6803,53.1512,-0.92,88,100,2.87,RU,1681843466
52,vilyuchinsk,52.9306,158.4028,1.15,96,100,3.83,RU,1681843466
53,badger,64.8,-147.5333,-3.07,60,75,8.23,US,1681843466
54,whitehorse,60.7161,-135.0538,2.28,93,100,1.54,CA,1681843467
55,arua,3.0201,30.9111,19.02,85,100,0.72,UG,1681843467
56,panaba,21.2833,-88.2667,33.73,25,0,5.39,MX,1681843468
57,aasiaat,68.7098,-52.8699,-4.27,88,100,4.21,GL,1681843468
58,edinburgh of the seven seas,-37.0676,-12.3116,15.01,60,81,5.87,SH,1681843468
59,paradip garh,20.3167,86.6167,28.49,72,0,5.72,IN,1681843469
60,puerto natales,-51.7236,-72.4875,14.25,54,75,4.63,CL,1681843388
61,tamanrasset,22.785,5.5228,27.95,7,0,5.14,DZ,1681843470
62,illizi,26.4833,8.4667,26.08,13,0,2.79,DZ,1681843470
63,yellowknife,62.456,-114.3525,4.29,56,20,7.72,CA,1681843470
64,puerto lempira,15.2667,-83.7667,32.08,62,40,4.63,HN,1681843470
65,colares,38.7992,-9.4469,25.82,42,0,7.2,PT,1681843470
66,blackmans bay,-43.0167,147.3167,12.07,83,100,2.0,AU,1681843470
67,lerwick,60.1545,-1.1494,9.0,81,85,4.05,GB,1681843471
68,port macquarie,-31.4333,152.9167,18.1,68,100,0.13,AU,1681843471
69,alice,27.7523,-98.0697,26.94,61,20,9.31,US,1681843471
70,harlingen,26.1906,-97.6961,26.7,87,100,7.2,US,1681843276
71,frontera,26.9333,-101.45,30.18,50,0,3.09,MX,1681843471
72,lospalos,-8.5186,127.0025,21.96,94,100,2.52,TL,1681843471
73,tsiombe,-25.3,45.4833,23.14,80,6,6.72,MG,1681843351
74,tara,56.8944,74.371,-8.67,80,2,1.45,RU,1681843472
75,salekhard,66.53,66.6019,-17.14,85,82,1.68,RU,1681843472
76,quellon,-43.1167,-73.6167,14.14,88,100,3.6,CL,1681843472
77,saint-pierre,-21.3393,55.4781,24.82,73,0,2.57,RE,1681843473
78,hassi messaoud,31.6804,6.0729,29.92,12,0,3.6,DZ,1681843473
79,lamu,-2.2717,40.902,28.12,78,100,6.67,KE,1681843473
80,san antonio de pale,-1.4014,5.6325,28.22,79,88,4.73,GQ,1681843473
81,constantia,44.1833,28.65,10.39,87,100,2.81,RO,1681843473
82,bhamo,24.2667,97.2333,23.91,30,0,0.84,MM,1681843473
